STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100610,267, , ,s,9999,200, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100611,246, , ,s,9999,181, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100612,294, , ,s,9999,186, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100613,302, , ,s,9999,216, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100614,300, , ,s,9999,186, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100615,336, , ,s,9999,212, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100616,311, , ,s,9999,237, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100617,246, , ,s,9999,185, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100618,263, , ,s,9999,186, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100619,311, , ,s,9999,184, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100620,337, , ,s,9999,225, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100621,306, , ,s,9999,204, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100622,304, , ,s,9999,236, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100623,302, , ,s,9999,196, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100624,319, , ,s,9999,194, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100625,316, , ,s,9999,209, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100626,311, , ,s,9999,215, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100627,316, , ,s,9999,222, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100628,310, , ,s,9999,232, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100629,310, , ,s,9999,229, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100630,296, , ,s,9999,244, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100701,276, , ,s,9999,231, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100702,367, , ,s,9999,205, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100703,378, , ,s,9999,245, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100704,369, , ,s,9999,264, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100705,406, , ,s,9999,250, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100706,392, , ,s,9999,254, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100707,343, , ,s,9999,245, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100708,365, , ,s,9999,242, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100709,319, , ,s,9999,222, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100710,248, , ,s,9999,214, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100711,265, , ,s,9999,219, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100712,260, , ,s,9999,222, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100713,264, , ,s,9999,225, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100714,279, , ,s,9999,241, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100715,265, , ,s,9999,244, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100716,326, , ,s,9999,237, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100717,330, , ,s,9999,249, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100718,342, , ,s,9999,251, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100719,308, , ,s,9999,227, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100720,322, , ,s,9999,216, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100721,333, , ,s,9999,231, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100722,345, , ,s,9999,244, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100723,355, , ,s,9999,261, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100724,356, , ,s,9999,266, , ,s,9999
GHCND:CHM00054511,BEIJING CH,55,39.933,116.283,20100725,357, , ,s,9999,265, , ,s,9999
